System;Site;Replication-task;ARN
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a5;arn:aws:dms:us-east-2:846946056819:task:6V4SU7NOV7RTYITBXU5YNMYOTN5AMHF3U55IFYY
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a5;arn:aws:dms:us-east-2:846946056819:task:GSKGPEOR4QPRC4PTJRWGEVJ4LUZSHSUMW5YOK3A
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a5;arn:aws:dms:us-east-2:846946056819:task:FPXMZNSERJL6FMEBL3X25VLKDQKWRQRLTWJFACI
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a6;arn:aws:dms:us-east-2:846946056819:task:KKXRBWRXQFIZ3C4LOVJLYJZZQDB5F5WZKB7Z2LI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a6;arn:aws:dms:us-east-2:846946056819:task:ASAGGH7ZFK4E7POETYIH57VUBFDZ46NKADZSA2I
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a6;arn:aws:dms:us-east-2:846946056819:task:SDGPBX4V4CON3VWXZTC3QXGC5HWU2PDYWZMGDUY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a6;arn:aws:dms:us-east-2:846946056819:task:N575HQTHAMV34DRXSXAHQDJRC3TIY635MSN6D3A
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a6;arn:aws:dms:us-east-2:846946056819:task:IUNO5ZCRYZYSLITGRG7PSKEFKGKK4QMHR2QVIXI
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a6;arn:aws:dms:us-east-2:846946056819:task:WFGXPW47AIIWN2A7HL5PNRV3RNXA3S65KMD6A6A
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a7;arn:aws:dms:us-east-2:846946056819:task:VERC3LNZZHAAZMNOKY4PL2JKYMUTMOPSLNWAD3I
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a7;arn:aws:dms:us-east-2:846946056819:task:DYPR7LCCXDTQQ7KDTMUKPUCCVTX73LGPFRWSUPY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a7;arn:aws:dms:us-east-2:846946056819:task:2H4RKKM5CZJWXX2JW6MB4K5BAJYQD5QXGJLNNNY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a7;arn:aws:dms:us-east-2:846946056819:task:FXBRCW4HMIPSXVPPC74JETGF5KX2F6TAS76EP7Y
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a7;arn:aws:dms:us-east-2:846946056819:task:PN5TTPK544W5DXDUUAGYT34DFCOSOQ24PEZNQHY
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a8;arn:aws:dms:us-east-2:846946056819:task:JNY6QYXWWPQEXLXP4T6ZMSGKLX5N6LDA6WOUW7A
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a8;arn:aws:dms:us-east-2:846946056819:task:ZY5NDLCFIJ5KPXBLY4GZFJXSCA62PRNFR4XVLNQ
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a8;arn:aws:dms:us-east-2:846946056819:task:WMIA7B3DOVPQ6256ZKPPC4T6EK6Q4DACSBU5LWQ
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a8;arn:aws:dms:us-east-2:846946056819:task:H5NZB476QRWBVDEWE3G2FZHCVG3EC3TEEUPWBMY
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a8;arn:aws:dms:us-east-2:846946056819:task:TYTHT2CNQLVNNFZV6WIBWRRUGOWYKBMC2Z6ZBRY
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a8;arn:aws:dms:us-east-2:846946056819:task:YFYHRTLQDFYYUXJOVSDIT2YZYRG3P4EHADDVDQA
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a9;arn:aws:dms:us-east-2:846946056819:task:YZRWNTCGTJ6GPSV3U4O4OZKNBPJFMIRUO4A2HOY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a9;arn:aws:dms:us-east-2:846946056819:task:WDQKGW4KDLSAZCLSOEVUXEE6BTIXXKSNPWKTEQY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a9;arn:aws:dms:us-east-2:846946056819:task:SQC7ALERSOCGFLV5Z2YWW3OZMV3GYN6CBXWZSKI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a9;arn:aws:dms:us-east-2:846946056819:task:JEN7PZUHI2D4EOHD5KOPKXR3PBVIBSCPWW2AZRA
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a9;arn:aws:dms:us-east-2:846946056819:task:7XWAANCOT7CQPLXETZBLVQIPSPSMPKBWXOX6AUA
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a9;arn:aws:dms:us-east-2:846946056819:task:IGV77V2WF6GGYMXBBXNEATOTPBBMALWSR37J62Q
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a10;arn:aws:dms:us-east-2:846946056819:task:CRM3KG6RVZX5MKIQNQEZYG7GC3PBRRVLUZU55DA
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a10;arn:aws:dms:us-east-2:846946056819:task:7MUUHYOCTU7BXFUPT6M3SOK5F2OWGNSX7RYBYAY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a10;arn:aws:dms:us-east-2:846946056819:task:SCRDPBSG7LBERN3YP5NW5VL44KMXIERL7QHJ6TI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a10;arn:aws:dms:us-east-2:846946056819:task:E76Q6ONYZTXV5CDAZ7ACLHFSALL5VHV34MOYAFI
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a10;arn:aws:dms:us-east-2:846946056819:task:35UVJ224SFLH5DH34O3YBJ5MFBWL2Z6UH5PHXDA
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a10;arn:aws:dms:us-east-2:846946056819:task:MUZT4NT2SJQM44HTXO3XASSGULGJWYFOHEZF32Q
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a11;arn:aws:dms:us-east-2:846946056819:task:K5KFYSN4TJU2VZVLM663CELILOP5NNBT7IMAJKI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a11;arn:aws:dms:us-east-2:846946056819:task:NFPRFSHODJZKYDQQA6AMIMB5UD5HWY7BOVOWKEI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a11;arn:aws:dms:us-east-2:846946056819:task:NXVDBKSMIWXDGC2PCKBHINAKGV2BBY7BVDYZUOI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a11;arn:aws:dms:us-east-2:846946056819:task:L7C274NWRQFK4RSYAHTRJSETRVOWPRR7LJNHSKQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a11;arn:aws:dms:us-east-2:846946056819:task:JCX3R44NIZV5EBRLUCCU7TNBGLAI6RMGTH7QJOY
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a11;arn:aws:dms:us-east-2:846946056819:task:5YWJ3CYTTJUDZXFAJ4PW2Z4WCPP2WC2ZA5SE6HI
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a12;arn:aws:dms:us-east-2:846946056819:task:A5R7ZNJ6SROTC5V6VZYEBRLZ3JOXG2CBN3MOW6A
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a12;arn:aws:dms:us-east-2:846946056819:task:T3E4LVRUIN7M72EJRBH27JZYR5ESKU53RX3XCXI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a12;arn:aws:dms:us-east-2:846946056819:task:YV7ZZHFUDMAJMI3PGATSR7TUJMUTMLK7PCSXOHY
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a12;arn:aws:dms:us-east-2:846946056819:task:WF6NMIUUX3YNKW3U3ES5YH67QN6HBYPHIITIMNQ
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a13;arn:aws:dms:us-east-2:846946056819:task:CVTZ65BFZJ7SG5N4KPUT3PBP653T6K6QZSIAQVA
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a13;arn:aws:dms:us-east-2:846946056819:task:5QKUE5AVES6AA745IFKOCUIHDVBPHE5QQ2VE5BY
